fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220928 211042	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	625	TRUE	113111	0.0197508756593517	0.364702468389916	386	16	9205	26870000	80
20220928 211553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	675	TRUE	113111	0.00507556952374023	0.523787432061092	289	27	7825	26510000	81
20220928 211628	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	88	TRUE	113111	0.0442099194205789	0.819220778979236	2322	552	10515	25530000	82
20220928 212854	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1467	TRUE	113111	0.00519722814934496	0.702838426880112	268	378	9587	26590000	83
20220928 213250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	630	TRUE	113111	0.0241125037569936	0.215772960810762	0	632	9144	24760000	84
20220928 213929	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	751	TRUE	113111	0.0050153273511328	0.378963439718372	911	234	8895	27090000	85
20220928 214816	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	756	TRUE	113111	0.00626074296449656	0.889569963017469	36	355	8839	25610000	86
20220928 214907	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	249	TRUE	113111	0.0508287668085737	0.307296356981559	5439	787	9869	26510000	87
20220928 215005	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	269	TRUE	113111	0.0771504556233118	0.864811092929431	1023	417	9875	26170000	88
20220928 215051	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	181	TRUE	113111	0.0539444157484153	0.311451031562657	5959	662	8674	25780000	89
20220928 215123	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	95	TRUE	113111	0.0565542028352305	0.42353489398959	355	18	9561	26480000	90
20220928 215813	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	901	TRUE	113111	0.0050241739828815	0.438830240334502	2415	293	8470	26580000	91
20220928 215911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	100	TRUE	113111	0.0490177375239526	0.326701906839163	21	285	9086	25350000	92
20220928 215956	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	69	TRUE	113111	0.0490119460664471	0.467075532191262	1004	168	9749	25790000	93
20220928 220156	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	316	TRUE	113111	0.0155292239957538	0.361497511538102	2483	222	9386	26510000	94
20220928 221629	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2973	TRUE	113111	0.00503217004080877	0.45631338557899	4	208	8735	26770000	95
20220928 222101	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	730	TRUE	113111	0.00544666372868225	0.579663987410444	947	18	9080	26640000	96
20220928 222745	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1785	TRUE	113111	0.00512123092283449	0.373105424652845	30	30	8404	26960000	97
20220928 223413	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	840	TRUE	113111	0.00507458456398785	0.351841123155069	1222	226	7998	26650000	98
20220928 223508	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	62	TRUE	113111	0.0387770272721937	0.770104619011661	648	434	9651	26380000	99
20220928 223543	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	113	TRUE	113111	0.0583976452769791	0.329109867921477	3424	552	9591	25700000	100
20220928 224334	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1035	TRUE	113111	0.00508413495040915	0.39860331397944	788	338	9318	26810000	101
20220928 224446	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	342	TRUE	113111	0.0375915026360426	0.278175282045157	6630	620	10050	26220000	102
20220928 225056	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1675	TRUE	113111	0.00537385559382704	0.398241596586617	9	17	9855	26850000	103
20220928 225315	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	554	TRUE	113111	0.0117793675245418	0.228730441209151	9	28	9231	27060000	104
20220928 225520	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	316	TRUE	113111	0.0148758906684305	0.408710955194464	668	49	9253	27340000	105
20220928 225702	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	283	TRUE	113111	0.0155539552422765	0.202406159940882	784	32	9246	26550000	106
20220928 225858	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289	TRUE	113111	0.0138737228915342	0.482318520599552	264	17	9263	26680000	107
20220928 230054	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	270	TRUE	113111	0.0139962835183989	0.316275770933988	545	27	9217	26610000	108
20220928 230321	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	317	TRUE	113111	0.0146127455544868	0.416151112435432	96	108	8763	26800000	109
20220928 230450	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	113111	0.0172025667962625	0.416870818975169	164	50	9588	26830000	110
20220928 230645	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	113111	0.0151509482746764	0.4066846298992	3108	21	9077	26090000	111
